Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Goat Brothers,"By Colton, Larry",," History , General",Doubleday,8.79,January,1993
The Missing Person,"By Grumbach, Doris",," Fiction , General",Putnam Pub Group,4.99,March,1981
Don't Eat Your Heart Out Cookbook,"By Piscatella, Joseph C.",," Cooking , Reference",Workman Pub Co,4.99,September,1983
When Your Corporate Umbrella Begins to Leak: A Handbook for White Collar Re-Employment,"By Davis, Paul D.",,,Natl Pr Books,4.99,April,1991
Amy Spangler's Breastfeeding : A Parent's Guide,"By Spangler, Amy",,,Amy Spangler,5.32,February,1997
The Foundation of Leadership: Enduring Principles to Govern Our Lives,"By Short, Bo",,,Excalibur Press,6.06,January,1997
Chicken Soup for the Soul: 101 Stories to Open the Heart and Rekindle the Spirit,"By Canfield, Jack (COM) and Hansen, Mark Victor (COM)",," Self-help , Personal Growth , Self-Esteem",Health Communications Inc,4.99,May,1993
Journey Through Heartsongs,"By Stepanek, Mattie J. T.","Collects poems written by the eleven-year-old muscular dystrophy patient, sharing his feelings and thoughts about his life, the deaths of his siblings, nature, faith, and hope."," Poetry , General",VSP Books,19.96,September,2001
In Search of Melancholy Baby,"By Aksyonov, Vassily, Heim, Michael Henry, and Bouis, Antonina W.","The Russian author offers an affectionate chronicle of life in the United States, with discussions of such topics as the European charm of Washington, D.C., and the American immigration bureaucracy"," Biography & Autobiography , General",Random House,4.99,June,1987
Christmas Cookies,"By Eakin, Katherine M. and Deaman, Joane (EDT)",," Cooking , General",Oxmoor House,12.98,June,1986
The Dieter's Guide to Weight Loss During Sex,"By Smith, Richard","A humor classic, this tongue-in-cheek diet plan bases calorie counts on sexual activity and charts the exact number of calories burned.""You and your friends can read this book aloud while sitting on the beach and shed a combined total of ten thousand calories in thirty-three minutes. Yes, it's that funny.""-Glamour. Selection of the Quality Paperback Book and Playboy book clubs and a New York Times Bestseller. 935,000 copies in print."," Health & Fitness , Diet & Nutrition , Diets",Workman Publishing Company,4.99,January,1978
Germs : Biological Weapons and America's Secret War,"By Miller, Judith, Engelberg, Stephen, and Broad, William J.","Deadly germs sprayed in shopping malls, bomb-lets spewing anthrax spores over battlefields, tiny vials of plague scattered in Times Square -- these are the poor man's hydrogen bombs, hideous weapons of mass destruction that can be made in a simple laboratory. In this groundbreaking work of investigative journalism, Judith Miller, Stephen Engelberg, and William Broad of The New York Times uncover the truth about biological weapons and show why bio-warfare and bio-terrorism are fast becoming our worst national nightmare.  Among the startling revelations in Germs:   How the CIA secretly built and tested a model of a Soviet-designed germ bomb, alarming some officials who felt the work pushed to the limits of what is permitted by the global treaty banning germ arms. How the Pentagon embarked on a secret effort to make a superbug. Details about the Soviet Union's massive hidden program to produce biological weapons, including new charges that germs were tested on humans. How Moscow's scientists made an untraceable germ that instructs the body to destroy itself. The Pentagon's chaotic efforts to improvise defenses against Iraq's biological weapons during the 1991 Persian Gulf War. How a religious cult in Oregon in the 1980s sickened hundreds of Americans in a bio-terrorism attack that the government played down to avoid panic and copycat strikes. Plans by the U.S. military in the 1960s to attack Cuba with germ weapons.   Germs also shows how a small group of scientists and senior officials persuaded President Bill Clinton to launch a controversial multibillion-dollar program to detect a germ attack on U.S. soil and to aid its victims -- a program that, so far, is struggling to provide real protection.  Based on hundreds of interviews with scientists and senior officials, including President Clinton, as well as on recently declassified documents and on-site reporting from the former Soviet Union's sinister bio-weapons labs, Germs shows us bio-warriors past and present at work at their trade. There is the American scientist who devoted his professional life to perfecting biological weapons, and the Nobel laureate who helped pioneer the new biology of genetically modified germs and is now trying to stop its misuse. We meet former Soviet scientists who made enough plague, smallpox, and anthrax to kill everyone on Earth and whose expertise is now in great demand by terrorists, rogue states, and legitimate research labs alike.  A frightening and unforgettable narrative of cutting-edge science and spycraft, Germs shows us why advances in biology and the spread of germ weapons expertise to such countries as Iran, Iraq, and North Korea could make germs the weapon of the twenty-first century."," Technology & Engineering , Military Science",Simon & Schuster,4.99,October,2001
The Genesis of Ethics,"By Visotzky, Burton L.",," Religion , Ethics",Crown,4.99,September,1996
The Good Book: Reading the Bible with Mind and Heart,"By Gomes, Peter J.","""The Bible and the social and moral consequences that derive from its interpretation are all too important to be left in the hands of the pious or the experts, and too significant to be ignored and trivialized by the uninformed and indifferent."," Religion , Biblical Biography , General",Harper Perennial,5.29,May,1998
All over but the Shoutin',"By Bragg, Rick","A New York Times Notable Book of the YearThis haunting, harrowing, gloriously moving recollection of a life on the American margin is the story of Rick Bragg, who grew up dirt-poor in northeastern Alabama, seemingly destined for either the cotton mills or the penitentiary, and instead became a Pulitzer Prize-winning reporter for The New York Times. It is the story of Bragg's father, a hard-drinking man with a murderous temper and the habit of running out on the people who needed him most.But at the center of this soaring memoir is Bragg's mother, who went eighteen years without a new dress so that her sons could have school clothes and picked other people's cotton so that her children wouldn't have to live on welfare alone. Evoking these lives--and the country that shaped and nourished them--with artistry, honesty, and compassion, Rick Bragg brings home the love and suffering that lie at the heart of every family. The result is unforgettable."," Biography & Autobiography , Personal Memoirs",Vintage,4.89,September,1998
Oilers and Sweepers and Other Stories,"By Dennison, George",,,Random House,5.0,January,1979
Prince William,"By Garner, Valerie",,,Benford Books,4.99,January,1998
The Emperor's New Mind,"By Penrose, Roger",," Philosophy , General",Penguin Books,4.99,January,1991
Touching Fire: Erotic Writings by Women,"By Thornton, Louise, Sturtevant, Jan, and Sumrall, Amber Coverdale (EDT)",,,Carroll & Graf Pub,5.29,October,1990
Hill Rat: Blowing the Lid Off Congress,"By Jackley, John L.","As a top aide to powerful Texas Congressman Ronald Coleman, John Jackley watched the nation's highest elected officials lie, manipulate media images, and spend millions of taxpayer dollars to stay in power. The mind-boggling scope of the abuse of perks and privilege by both legislators and their staffers finally shocked him into reality.What began as a secret journal for his children to clear his conscience has become Hill Rat, a journey behind Congress' closed doors and into the corrupt back alleys of power. With both humor and outrage, Jackley reveals how the promise of Congress has been hijacked and corrupted by the current crop of careerist incumbents. ""Today,"" he writes, ""a successful congressman has the fundraising ability of a hooker trying to make cab fare home and the morals of a big-time football coach!""His account is laced with the names of Capitol Hill's most prominent legislators--Majority Leader Richard Gephardt, Speaker of the House Thomas Foley, Ron Dellums, Bill Alexander, Minority Whip Newt Gingrich, Thomas Luken, and scores of others. Jackley also reveals, with names, dates, and examples, the outrageous power of Congressional staffers--""Hill Rats""--who ""run the engines of democracy on a daily basis and pride themselves on their ability to do anything in the name of their cause.""To show the flagrant abuse of taxpayers' money for re-election purposes, Jackley points out that in just forty-eight hours in early 1992, the House mailed more than 58 million newsletters and postcards. In 1990, the first post-Jim Wright, post-congressional scandal election, 96% of the incumbents who ran were reelected. Even in 1988, only six Members running for re-election were defeated, a turnover rate less than that of the Soviet Politburo.From previously untold Congressional involvement in Oliver North's contra re-supply network to Democratic complicity in the S&L crisis to the taxpayer-funded incumbent protection plan, Hill Rat reveals secrets backed by hard evidence that will shake the House and shock the nation."," Political Science , General","Regnery Publishing, Inc.",4.99,April,1992
The Great ABC Treasure Hunt: A Hidden Picture Alphabet Book (Time-Life Early Learning Program),"By Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)",," Juvenile Nonfiction , General",Time Life Education,5.29,February,1991
Personality of the Cat,"By Aymar, Brandt (EDT)","A delightful collection of reflections on the feline contains selections from famous artists, writers, poets, and essayists, such as Pablo Picasso, Rudyard Kipling, T. S. Eliot, and others."," Pets , Cats , General",Bonanza Books,5.41,January,1978
Murdering Mr. Monti: A Merry Little Tale of Sex and Violence,"By Viorst, Judith",," Fiction , General",Simon & Schuster,5.29,January,1994
In Re Alger Hiss:  Petition for a Writ of Error Coram Nobis,By Edith Tiger,,,Hill & Wang,10.99,May,1979
Black Holes and Baby Universes and Other Essays,"By Hawking, Stephen W.",," Biography & Autobiography , General",Bantam,5.29,October,1993
Relativity: The Special and the General Theory,By Albert Einstein,,,Three Rivers Press,8.79,August,1961
Betrayal : How the Clinton Administration Undermined American Security,"By Gertz, Bill","Gertz, writer for the Moonie-influenced  Washington Times  newspaper and a reporter  with the highest right-wing credentials (including praise from Rush Limbaugh and G. Gordon Liddy on the jacket) uses declassified documents and unnamed Pentagon sources to recount how President Clinton has weakened the military and made innumerable secret deals with ""enemy"" countries. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Political Science , General",Regnery Pub,4.99,May,1999
Shadow Song,"By Kay, Terry","It was a wonderful summer, a great memory, the kind of love everybody ought to have. It changed my life - or almost did - and I think about it more than I should, but that was a long time ago.Amid the breathtaking beauty of the Catskill Mountains, Avrum Feldman listened to the haunting voice of Amelita Galli-Curci ringing over the Shandaken Valley - a voice no one else could hear. When he died at age one hundred six, his obsession for the famous opera diva had lasted three-quarters of a century. Most people considered Avrum crazy, someone preoccupied with romantic nonsense. But Madison Lee ""Bobo"" Murphy was not among them, for he, too, had a love that changed his life, or almost did: Amy Lourie.In the summer of 1955, Bobo was a waiter at the Catskill's Pine Hill Inn; a rural Southerner who had never heard the word meshugge until Avrum - a retired furrier, teacher, and translator from New York City - became his unlikely friend. For Bobo nothing about that summer ever lost its glow: his first taste of kartoffel suppe; the exotic mingling of Yiddish and German in the dining room; the girl he met and loved....In everyone's life, Avrum had instructed, there is one grand, undeniable moment of change that never stops mattering. It came for Bobo in his first meeting with Amy, the most beautiful girl he had ever seen. He was too naive to comprehend the gulf between their worlds, and she was too smitten by him to care. But for a wealthy Jewish girl and a Georgia farm boy, the summer had to end, leaving Bobo to learn the painful lesson of loving someone and believing you cannot be with them.Now, thirty-eight years later, Avrum is gone, leaving a will that beckons Bobo north to the Catskills once more. In the places he'd walked so often on the paths of memory, he embraces the ghosts of old friendships and the haunting hints of Amy's presence, until she unexpectedly appears. Nothing has dimmed the passion of their youth, yet two lifetimes and a thousand Catskills sunsets stand between who they were and who they have become. The strikes against them are different now, but mysteriously, miraculously, as Bobo carries out Avrum's last wishes for a strange Kaddish, he hears the dreams of his youth, of the young man who went forth and became part of a love larger than himself...."," Fiction , General",Atria Books,4.99,October,1994
Undercurrents: A Therapist's Reckoning With Her Own Depression,"By Manning, Martha",," Psychology , General",HarperCollins,5.29,January,1995
The Road Less Traveled and Beyond: Spiritual Growth in an Age of Anxiety,"By Peck, M. Scott",," Psychology , Psychopathology , Anxieties & Phobias",Touchstone,4.99,January,1998
The Kiss: A Memoir,"By Harrison, Kathryn",," Family & Relationships , Love & Romance",Random House,5.29,March,1997
Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"By Haufler, Hervie","For the first time ever, veteran World War II cryptographer Hervie Haufler details how American and British codebreakers were the decisive factor in the Allied victory. From the Purple Machine to the Navajo Talkers to the breaking of Japan's JN-25 Naval Code to the shadowy world of decoding units like Hut-8 in Bletchley Park, he shows how crucial information-often obtained by surreptitious and violent means-was the decisive edge in the Battle of Britain, at Midway and against the U-Boats in the North Atlantic, and how Allied intelligence saved the Soviet Union from almost certain defeat.  In an accessible account based on years of research, interviews and exclusive access to previously top-secret archives, Haufler demonstrates how cryptography enabled Nimitz and MacArthur to persevere in the Pacific and helped Eisenhower and Patton mount the assaults on Normandy. In compelling detail, Haufler shows us how it was done-as only one who was on the frontlines of the ""secret war"" could tell it."," History , Military , World War II",NAL Trade,5.29,November,2003
"A Manual for Writers of Term Papers, Theses, and Dissertations, Fifth Edition","By Turabian, Kate L.",,,University of Chicago Press,4.99,January,1987
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill","By Suskind, Ron",," Political Science , Government , Executive Branch",Simon & Schuster,8.79,January,2004
Best New American Voices 2003,"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)","Since its launch in 2000, the Best New American Voices series has been acclaimed for the range and originality of its selections, which represent the writers who promise to become the literary stars of tomorrow. The 2003 collection continues the tradition, featuring innovative, powerful stories selected by one of our finest writers of contemporary fiction, Joyce Carol Oates. With pieces culled from more than one hundred prestigious writing programs around the country and Canada, including the Iowa Writers' Workshop and the Sewanee Conference, this volume showcases a remarkable array of talent--and offers the excitement of discovering a new generation of writers.A Harvest Original"," Fiction , Anthologies (multiple authors)",Harvest Books,5.29,October,2002
Escape from the CIA: How the CIA Won and Lost the Most Important KGB Spy Ever to Defect to the U.S.,"By Kessler, Ronald",," Political Science , General",Pocket Books,5.29,April,1991
Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas","Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being."," Religion , General",HarperCollins,4.99,November,1994
Links Lore,"By Stevens, Peter F.",," Sports & Recreation , History",POTOMAC BOOKS,5.29,June,2000
Jackie by Josie: A Novel,"By Preston, Caroline","Follows a thirtyish graduate who unexpectedly finds herself helping a celebrity biographer research the life of Jacqueline Kennedy Onassis, and ends up discovering surprising parallels between her own life and that of the queen of Camelot"," Fiction , Literary",Scribner,4.99,March,1998
Joshua and the City,"By Girzone, Joseph F.","A contemporary city faces turmoil and devastation until it is visited by the serene figure of Joshua, who presents an alternative, love-based approach to life while addressing such issues as poverty, racism, and AIDS. 150,000 first printing. $150,000 ad/promo."," Religion , Inspirational",Doubleday,5.29,March,1995
The Book of Courtly Love: The Passionate Code of the Troubadours,"By Hopkins, Andrea","A treasury of French medieval lore combines the tales of Lancelot and Guinevere, Tristan and Isolde, Troilus and Criseyde, and several songs and poems with sixty accompanying illustrations from classic manuscripts and romantic art.",,HarperCollins,5.29,November,1994
How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"By Kushner, Harold S.","From the author of When Bad Things Happen to Good People comes an inspiring new bestseller that puts human feelings of guilt and inadequacy in perspective - and teaches us how we can learn to accept ourselves and others even when we and they are less than perfect. How Good Do We Have to Be? is for everyone who experiences that sense of guilt and disappointment. Harold Kushner, writing with his customary generosity and wisdom, shows us how human life is too complex for anyone to live it without making mistakes, and why we need not fear the loss of God's love when we are less than perfect. Harold Kushner begins by offering a radically new interpretation of the story of Adam and Eve, which he sees as a tale of Paradise Outgrown rather than Paradise Lost: eating from the Tree of Knowledge was not an act of disobedience, but a brave step forward toward becoming human, complete with the richness of work, sexuality and child-rearing, and a sense of our mortality. Drawing on modern literature, psychology, theology,,and his own thirty years of experience as a congregational rabbi, Harold Kushner reveals how acceptance and forgiveness can change our relationships with the most important people in our lives and help us meet the bold and rewarding challenge of being human."," Religion , Psychology of Religion",Back Bay Books,4.99,September,1997
"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","By Ornish, Dean and Brown, Shirley Elizabeth (EDT)",," Cooking , Health & Healing , Low Fat",William Morrow Paperbacks,5.29,December,2000
Majorca: Culture and Life,By Konemann Inc. (EDT),," Photography , Subjects & Themes , Regional",Konemann,8.83,June,2000
Written by Herself: Autobiographies of American Women: An Anthology,"By Conway, Jill Ker (EDT)","The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston."," Biography & Autobiography , Women",Vintage,4.99,November,1992
The Universe of Galaxies,"By Hodge, Paul",,,W H Freeman & Co,5.29,October,1984
Ice Bound: A Doctor's Incredible Battle For Survival at the South Pole,"By Nielsen, Jerri and Vollers, Maryanne",," Biography & Autobiography , Women",Miramax,4.89,January,2002
Healing Benefits of Garlic,"By Heinerman, John",," Cooking , Specific Ingredients , Herbs, Spices, Condiments",Gramercy,4.99,July,1995
Me and Ted Against the World : The Unauthorized Story of the Founding of CNN,"By Schonfeld, Reese",," Business & Economics , Management",Harperbusiness,4.99,February,2001
Magnet Therapy: The Pain Cure Alternative,"By Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul",," Medical , Holistic Medicine",Prima Pub,5.29,March,1998
Controlling Cholesterol: Dr. Kenneth H. Cooper's Preventative Medicine Program,"By Cooper, Kenneth H.",," Health & Fitness , Diet & Nutrition , Food Content Guides",Bantam,5.29,February,1989
George Meany And His Times: A Biography,"By Robinson, Archie",Draws on interviews and unpublished documents to re-create the life and times of the outspoken and influential labor leader and the drama of the labor movement in which he played a central role," Biography & Autobiography , General",Simon & Schuster,4.99,January,1982
American Dreams: Lost & Found,"By Terkel, Studs","A cross-section of Americans--from an embittered Miss America to Arnold Schwarzenegger, from Jesse Helms to a KKK member, from businessmen and Brahmins to activists and immigrants--speak of their hopes, expectations, and disappointments",,Pantheon,10.99,August,1980
Sharing the Pie : A Citizen's Guide to Wealth and Power,"By Brodner, Steve (ILT) and Brouwer, Steve",," Business & Economics , Economic Conditions",Holt Paperbacks,5.29,May,1998
"Love, Love, and Love","By Bernhard, Sandra","Even if you know Sandra Bernhard as an actress, singer, comedian, and performer, you're in for quite a shock with this, her second book. A mix of memoir, fiction, invented memoir, and fiction that rings with the truth, Love Love and Love charts the state of romance, sex, and relationships - the need to love and be loved - in several cities, and several sexes, around the world. The same biting wit, fragile irony, and arresting candor of Sandra's performances are all here, but Love Love and Love is also filled with an intimacy and an insight that are all new... and all Bernhard.Here are the stories of a relationship built on the weapon of romance; of an elusive girl, and the various drugs she gives and takes; of dreams and daydreams that melt into truth; of the touch of a lover's skin at the break of dawn; and of all the pain and cruelty that go along so well with the ecstasy we all want to possess. This is a book about relationships born of chance meetings on the street at night; about sexual obsessions, frayed emotions, and haunting memories of both the quick and the dead. Love Love and Love is by turns shocking and exhilarating, angry and passionate, analytical and sexy; it's all about that strange state of being that merges sensations only of the moment with an emotion that has existed since the birth of humankind.As Sandra herself notes: ""Love is the only shocking act left on the face of the earth.""",,HarperCollins,5.29,August,1993
